"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201516","BSC","1: 0-4","50","17","$10.95","$3.80"
"2",20602,"Darebin - South","FY201516","BSC","1: 0-4","30","12","$10.05","$2.95"
"3",20603,"Essendon","FY201516","BSC","1: 0-4","40","13","$12.05","$3.30"
"4",20604,"Melbourne City","FY201516","BSC","1: 0-4","20","10","$9.45","$2.70"
"5",20605,"Port Phillip","FY201516","BSC","1: 0-4","30","11","$11.60","$4.55"
"6",20606,"Stonnington - West","FY201516","BSC","1: 0-4","50","8","$11.55","$3.65"
"7",20607,"Yarra","FY201516","BSC","1: 0-4","40","13","$9.05","$2.35"
"8",20701,"Boroondara","FY201516","BSC","1: 0-4","110","41","$11.90","$3.75"
"9",20702,"Manningham - West","FY201516","BSC","1: 0-4","40","15","$10.35","$3.10"
"10",20703,"Whitehorse - West","FY201516","BSC","1: 0-4","40","24","$11.15","$3.85"
"11",20801,"Bayside","FY201516","BSC","1: 0-4","80","27","$11.90","$2.20"
"12",20802,"Glen Eira","FY201516","BSC","1: 0-4","80","25","$9.30","$2.45"
"13",20803,"Kingston","FY201516","BSC","1: 0-4","80","22","$9.80","$2.10"
"14",20804,"Stonnington - East","FY201516","BSC","1: 0-4","30","9","$13.20","$3.55"
"15",20901,"Banyule","FY201516","BSC","1: 0-4","60","40","$9.15","$1.80"
"16",20902,"Darebin - North","FY201516","BSC","1: 0-4","30","14","$8.00","$2.30"
"17",20903,"Nillumbik - Kinglake","FY201516","BSC","1: 0-4","30","25","$8.05","$2.00"
"18",20904,"Whittlesea - Wallan","FY201516","BSC","1: 0-4","90","36","$10.25","$2.45"
"19",21001,"Keilor","FY201516","BSC","1: 0-4","30","13","$10.75","$2.30"
"20",21002,"Macedon Ranges","FY201516","BSC","1: 0-4","10","7","$9.25","$1.80"
"21",21003,"Moreland - North","FY201516","BSC","1: 0-4","20","14","$9.95","$2.75"
"22",21004,"Sunbury","FY201516","BSC","1: 0-4","20","13","$10.60","$1.25"
"23",21005,"Tullamarine - Broadmeadows","FY201516","BSC","1: 0-4","50","29","$9.05","$2.15"
"24",21101,"Knox","FY201516","BSC","1: 0-4","60","37","$9.85","$2.45"
"25",21102,"Manningham - East","FY201516","BSC","1: 0-4","10","11","$10.25","$1.60"
"26",21103,"Maroondah","FY201516","BSC","1: 0-4","50","27","$9.30","$1.90"
"27",21104,"Whitehorse - East","FY201516","BSC","1: 0-4","40","15","$9.20","$2.70"
"28",21105,"Yarra Ranges","FY201516","BSC","1: 0-4","60","47","$8.35","$2.05"
"29",21201,"Cardinia","FY201516","BSC","1: 0-4","40","14","$7.80","$0.85"
"30",21202,"Casey - North","FY201516","BSC","1: 0-4","70","26","$10.25","$3.75"
"31",21203,"Casey - South","FY201516","BSC","1: 0-4","80","24","$8.85","$1.60"
"32",21204,"Dandenong","FY201516","BSC","1: 0-4","60","22","$9.40","$3.45"
"33",21205,"Monash","FY201516","BSC","1: 0-4","110","40","$10.00","$2.45"
"34",21301,"Brimbank","FY201516","BSC","1: 0-4","40","26","$9.75","$2.65"
"35",21302,"Hobsons Bay","FY201516","BSC","1: 0-4","60","24","$9.85","$1.95"
"36",21303,"Maribyrnong","FY201516","BSC","1: 0-4","30","12","$9.30","$1.95"
"37",21304,"Melton - Bacchus Marsh","FY201516","BSC","1: 0-4","70","35","$9.35","$1.10"
"38",21305,"Wyndham","FY201516","BSC","1: 0-4","100","38","$8.60","$2.20"
"39",21401,"Frankston","FY201516","BSC","1: 0-4","50","21","$9.25","$2.55"
"40",21402,"Mornington Peninsula","FY201516","BSC","1: 0-4","80","28","$9.45","$2.55"
