"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201314","LDC","2: 5-9","410","25","$8.55","$0.50"
"2",20602,"Darebin - South","FY201314","LDC","2: 5-9","290","15","$8.75","$0.45"
"3",20603,"Essendon","FY201314","LDC","2: 5-9","340","17","$8.85","$0.95"
"4",20604,"Melbourne City","FY201314","LDC","2: 5-9","540","39","$10.00","$1.40"
"5",20605,"Port Phillip","FY201314","LDC","2: 5-9","480","30","$10.25","$2.15"
"6",20606,"Stonnington - West","FY201314","LDC","2: 5-9","240","15","$10.55","$1.10"
"7",20607,"Yarra","FY201314","LDC","2: 5-9","470","30","$9.60","$1.00"
"8",20701,"Boroondara","FY201314","LDC","2: 5-9","590","32","$10.20","$1.70"
"9",20702,"Manningham - West","FY201314","LDC","2: 5-9","370","24","$8.45","$0.60"
"10",20703,"Whitehorse - West","FY201314","LDC","2: 5-9","430","24","$8.90","$0.85"
"11",20801,"Bayside","FY201314","LDC","2: 5-9","420","23","$10.85","$1.95"
"12",20802,"Glen Eira","FY201314","LDC","2: 5-9","1,140","49","$10.15","$2.10"
"13",20803,"Kingston","FY201314","LDC","2: 5-9","630","34","$8.35","$1.00"
"14",20804,"Stonnington - East","FY201314","LDC","2: 5-9","160","7","$10.25","$1.10"
"15",20901,"Banyule","FY201314","LDC","2: 5-9","430","24","$9.70","$6.90"
"16",20902,"Darebin - North","FY201314","LDC","2: 5-9","350","20","$8.30","$0.90"
"17",20903,"Nillumbik - Kinglake","FY201314","LDC","2: 5-9","400","16","$8.45","$1.90"
"18",20904,"Whittlesea - Wallan","FY201314","LDC","2: 5-9","750","35","$7.40","$0.55"
"19",21001,"Keilor","FY201314","LDC","2: 5-9","240","11","$7.50","$0.95"
"20",21002,"Macedon Ranges","FY201314","LDC","2: 5-9","150","6","$7.40","$0.20"
"21",21003,"Moreland - North","FY201314","LDC","2: 5-9","160","11","$8.15","$0.60"
"22",21004,"Sunbury","FY201314","LDC","2: 5-9","180","8","$7.25","$0.35"
"23",21005,"Tullamarine - Broadmeadows","FY201314","LDC","2: 5-9","570","32","$7.50","$0.55"
"24",21101,"Knox","FY201314","LDC","2: 5-9","670","38","$8.00","$0.95"
"25",21102,"Manningham - East","FY201314","LDC","2: 5-9","60","     <5","$7.85","$0.35"
"26",21103,"Maroondah","FY201314","LDC","2: 5-9","530","35","$7.60","$0.45"
"27",21104,"Whitehorse - East","FY201314","LDC","2: 5-9","210","14","$8.80","$0.95"
"28",21105,"Yarra Ranges","FY201314","LDC","2: 5-9","560","30","$7.40","$0.50"
"29",21201,"Cardinia","FY201314","LDC","2: 5-9","870","25","$7.20","$0.85"
"30",21202,"Casey - North","FY201314","LDC","2: 5-9","630","30","$7.15","$0.65"
"31",21203,"Casey - South","FY201314","LDC","2: 5-9","1,100","45","$6.95","$0.55"
"32",21204,"Dandenong","FY201314","LDC","2: 5-9","460","36","$7.00","$0.85"
"33",21205,"Monash","FY201314","LDC","2: 5-9","650","37","$8.55","$0.80"
"34",21301,"Brimbank","FY201314","LDC","2: 5-9","740","38","$7.85","$4.50"
"35",21302,"Hobsons Bay","FY201314","LDC","2: 5-9","370","17","$8.80","$0.70"
"36",21303,"Maribyrnong","FY201314","LDC","2: 5-9","300","17","$8.90","$0.75"
"37",21304,"Melton - Bacchus Marsh","FY201314","LDC","2: 5-9","740","34","$7.20","$0.55"
"38",21305,"Wyndham","FY201314","LDC","2: 5-9","900","45","$7.85","$0.55"
"39",21401,"Frankston","FY201314","LDC","2: 5-9","600","34","$7.70","$0.80"
"40",21402,"Mornington Peninsula","FY201314","LDC","2: 5-9","640","29","$7.30","$0.80"
