"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201213","ASC","1: 0-4","70","16","$6.65","$1.25"
"2",20602,"Darebin - South","FY201213","ASC","1: 0-4","30","9","$6.95","$1.65"
"3",20603,"Essendon","FY201213","ASC","1: 0-4","40","11","$7.65","$1.20"
"4",20604,"Melbourne City","FY201213","ASC","1: 0-4","40","7","$9.50","$3.50"
"5",20605,"Port Phillip","FY201213","ASC","1: 0-4","50","11","$8.60","$2.65"
"6",20606,"Stonnington - West","FY201213","ASC","1: 0-4","10","5","$7.30","$0.95"
"7",20607,"Yarra","FY201213","ASC","1: 0-4","50","18","$6.85","$1.65"
"8",20701,"Boroondara","FY201213","ASC","1: 0-4","120","33","$7.90","$1.75"
"9",20702,"Manningham - West","FY201213","ASC","1: 0-4","50","20","$7.45","$2.30"
"10",20703,"Whitehorse - West","FY201213","ASC","1: 0-4","90","20","$7.70","$2.10"
"11",20801,"Bayside","FY201213","ASC","1: 0-4","140","21","$8.40","$2.20"
"12",20802,"Glen Eira","FY201213","ASC","1: 0-4","150","31","$7.80","$2.45"
"13",20803,"Kingston","FY201213","ASC","1: 0-4","90","21","$7.65","$1.95"
"14",20804,"Stonnington - East","FY201213","ASC","1: 0-4","30","8","$8.50","$2.45"
"15",20901,"Banyule","FY201213","ASC","1: 0-4","120","31","$6.55","$1.50"
"16",20902,"Darebin - North","FY201213","ASC","1: 0-4","60","22","$6.95","$2.45"
"17",20903,"Nillumbik - Kinglake","FY201213","ASC","1: 0-4","20","16","$6.15","$2.30"
"18",20904,"Whittlesea - Wallan","FY201213","ASC","1: 0-4","110","37","$6.70","$1.65"
"19",21001,"Keilor","FY201213","ASC","1: 0-4","40","11","$6.50","$1.25"
"20",21002,"Macedon Ranges","FY201213","ASC","1: 0-4","10","7","$6.45","$0.80"
"21",21003,"Moreland - North","FY201213","ASC","1: 0-4","40","12","$7.00","$1.40"
"22",21004,"Sunbury","FY201213","ASC","1: 0-4","30","8","$6.60","$1.10"
"23",21005,"Tullamarine - Broadmeadows","FY201213","ASC","1: 0-4","70","30","$6.25","$1.65"
"24",21101,"Knox","FY201213","ASC","1: 0-4","70","33","$7.05","$1.30"
"25",21102,"Manningham - East","FY201213","ASC","1: 0-4","10","8","$6.55","$1.30"
"26",21103,"Maroondah","FY201213","ASC","1: 0-4","40","23","$6.45","$1.20"
"27",21104,"Whitehorse - East","FY201213","ASC","1: 0-4","50","14","$6.50","$1.20"
"28",21105,"Yarra Ranges","FY201213","ASC","1: 0-4","90","43","$6.00","$1.60"
"29",21201,"Cardinia","FY201213","ASC","1: 0-4","40","17","$6.55","$1.80"
"30",21202,"Casey - North","FY201213","ASC","1: 0-4","70","24","$6.55","$1.20"
"31",21203,"Casey - South","FY201213","ASC","1: 0-4","90","24","$7.00","$2.05"
"32",21204,"Dandenong","FY201213","ASC","1: 0-4","50","27","$5.95","$1.75"
"33",21205,"Monash","FY201213","ASC","1: 0-4","140","40","$7.10","$1.65"
"34",21301,"Brimbank","FY201213","ASC","1: 0-4","70","25","$6.30","$1.20"
"35",21302,"Hobsons Bay","FY201213","ASC","1: 0-4","90","19","$6.55","$1.25"
"36",21303,"Maribyrnong","FY201213","ASC","1: 0-4","40","12","$7.00","$1.80"
"37",21304,"Melton - Bacchus Marsh","FY201213","ASC","1: 0-4","100","23","$6.55","$1.85"
"38",21305,"Wyndham","FY201213","ASC","1: 0-4","130","34","$6.20","$1.90"
"39",21401,"Frankston","FY201213","ASC","1: 0-4","70","24","$6.65","$1.65"
"40",21402,"Mornington Peninsula","FY201213","ASC","1: 0-4","120","30","$7.60","$2.00"
