"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201516","LDC","1: 0-4","3,450","26","$9.55","$0.60"
"2",20602,"Darebin - South","FY201516","LDC","1: 0-4","1,820","15","$9.95","$0.55"
"3",20603,"Essendon","FY201516","LDC","1: 0-4","2,920","16","$9.90","$0.85"
"4",20604,"Melbourne City","FY201516","LDC","1: 0-4","6,070","43","$11.25","$1.95"
"5",20605,"Port Phillip","FY201516","LDC","1: 0-4","3,950","33","$10.90","$1.70"
"6",20606,"Stonnington - West","FY201516","LDC","1: 0-4","1,780","16","$11.85","$1.90"
"7",20607,"Yarra","FY201516","LDC","1: 0-4","3,650","33","$10.70","$1.10"
"8",20701,"Boroondara","FY201516","LDC","1: 0-4","4,070","33","$11.25","$1.95"
"9",20702,"Manningham - West","FY201516","LDC","1: 0-4","2,550","25","$9.65","$0.85"
"10",20703,"Whitehorse - West","FY201516","LDC","1: 0-4","3,080","22","$10.10","$0.90"
"11",20801,"Bayside","FY201516","LDC","1: 0-4","3,000","23","$11.70","$2.05"
"12",20802,"Glen Eira","FY201516","LDC","1: 0-4","6,370","51","$11.30","$2.10"
"13",20803,"Kingston","FY201516","LDC","1: 0-4","4,580","33","$9.60","$1.15"
"14",20804,"Stonnington - East","FY201516","LDC","1: 0-4","920","8","$10.95","$1.00"
"15",20901,"Banyule","FY201516","LDC","1: 0-4","3,370","23","$11.30","$9.10"
"16",20902,"Darebin - North","FY201516","LDC","1: 0-4","2,990","22","$9.20","$0.85"
"17",20903,"Nillumbik - Kinglake","FY201516","LDC","1: 0-4","2,660","18","$9.25","$1.90"
"18",20904,"Whittlesea - Wallan","FY201516","LDC","1: 0-4","6,760","41","$8.30","$0.70"
"19",21001,"Keilor","FY201516","LDC","1: 0-4","1,680","11","$8.50","$0.65"
"20",21002,"Macedon Ranges","FY201516","LDC","1: 0-4","950","7","$8.30","$0.25"
"21",21003,"Moreland - North","FY201516","LDC","1: 0-4","1,890","15","$9.70","$1.30"
"22",21004,"Sunbury","FY201516","LDC","1: 0-4","1,380","8","$8.15","$0.55"
"23",21005,"Tullamarine - Broadmeadows","FY201516","LDC","1: 0-4","4,600","32","$8.30","$0.55"
"24",21101,"Knox","FY201516","LDC","1: 0-4","4,700","41","$9.25","$1.40"
"25",21102,"Manningham - East","FY201516","LDC","1: 0-4","510","     <5","$8.75","$0.45"
"26",21103,"Maroondah","FY201516","LDC","1: 0-4","4,110","30","$8.55","$0.50"
"27",21104,"Whitehorse - East","FY201516","LDC","1: 0-4","1,780","14","$9.55","$0.90"
"28",21105,"Yarra Ranges","FY201516","LDC","1: 0-4","3,640","30","$8.35","$0.80"
"29",21201,"Cardinia","FY201516","LDC","1: 0-4","4,040","25","$7.95","$0.95"
"30",21202,"Casey - North","FY201516","LDC","1: 0-4","3,830","32","$8.05","$0.70"
"31",21203,"Casey - South","FY201516","LDC","1: 0-4","5,760","44","$7.75","$0.60"
"32",21204,"Dandenong","FY201516","LDC","1: 0-4","3,300","37","$7.95","$1.00"
"33",21205,"Monash","FY201516","LDC","1: 0-4","5,380","42","$9.60","$0.85"
"34",21301,"Brimbank","FY201516","LDC","1: 0-4","5,360","42","$7.90","$0.65"
"35",21302,"Hobsons Bay","FY201516","LDC","1: 0-4","2,450","18","$9.65","$0.75"
"36",21303,"Maribyrnong","FY201516","LDC","1: 0-4","2,570","19","$9.90","$0.90"
"37",21304,"Melton - Bacchus Marsh","FY201516","LDC","1: 0-4","5,240","37","$8.00","$0.55"
"38",21305,"Wyndham","FY201516","LDC","1: 0-4","9,120","56","$8.80","$0.85"
"39",21401,"Frankston","FY201516","LDC","1: 0-4","4,710","36","$8.55","$0.70"
"40",21402,"Mornington Peninsula","FY201516","LDC","1: 0-4","4,280","34","$8.20","$1.00"
